Zone,Bachelor,1_Bedroom,2_Bedroom,3_Plus_Bedroom,Total_Units
West End/Stanley Park,682,2693,500,35,3910
English Bay,895,5182,752,35,6864
Downtown,2449,7974,1732,96,12251
South Granville/Oak,1791,5388,1729,109,9017
Kitsilano/Point Grey,912,5095,1446,89,7542
Westside/Kerrisdale,279,1899,1081,148,3407
Marpole,329,2818,703,19,3869
Mount Pleasant/Renfrew Heights,1083,4691,1420,184,7378
East Hastings,1149,3725,1031,129,6034
Southeast Vancouver,373,1663,1201,319,3556
University Endowment Lands,210,597,562,106,1475
Central Park/Metrotown,294,3310,1400,52,5056
Southeast Burnaby,138,1354,617,75,2184
North Burnaby,282,2284,1147,429,4142
New Westminster,1103,5921,2669,263,9956
North Vancouver CY,632,4150,2016,161,6959
North Vancouver DM,227,705,950,547,2429
West Vancouver,243,1428,869,111,2651
Richmond,348,1431,1338,396,3513
Delta,79,844,768,51,1742
Surrey,156,3541,3033,615,7345
White Rock,75,939,403,10,1427
Langley City and Langley DM,190,1721,1882,271,4064
Tri-Cities,207,2638,2096,253,5194
Maple Ridge/Pitt Meadows,22,1124,635,121,1902
Vancouver,14148,73115,31980,4624,123867
